branch,city,customer type,gender,product line,unit price,quantity,tax 5%,total,date,time,payment,cogs,gross margin percentage,gross income,rating
B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,241.46,2019-03-15,11:57,Cash,229.96,4.76,11.5,6.6
C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.36,2019-01-14,10:02,Cash,429.87,4.76,21.49,9.8
B,Mandalay,Member,Male,Health and beauty,25.9,10,12.95,271.95,2019-02-06,14:51,Ewallet,259.0,4.76,12.95,8.7
B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,93.29,2019-02-15,12:42,Credit card,88.85,4.76,4.44,5.4
A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.63,2019-01-03,12:02,Ewallet,207.27,4.76,10.36,7.9
C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.84,2019-01-04,18:19,Credit card,599.85,4.76,29.99,9.7
C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14.265,299.56,2019-03-18,17:38,Ewallet,285.3,4.76,14.26,7.8
B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,95.67,2019-03-28,13:41,Ewallet,91.11,4.76,4.56,5.1
B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.45,2019-03-02,19:42,Credit card,897.57,4.76,44.88,6.5
A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,247.87,2019-01-25,20:24,Ewallet,236.07,4.76,11.8,5.9
C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.31,2019-01-16,18:08,Cash,839.34,4.76,41.97,8.8
B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,2019-03-20,19:17,Ewallet,461.8,4.76,23.09,4.9
B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,146.22,2019-01-04,13:24,Credit card,139.26,4.76,6.96,4.4
B,Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,217.63,2019-03-11,15:53,Cash,207.27,4.76,10.36,6.5
A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,19.19,2019-03-22,15:05,Credit card,18.28,4.76,0.91,8.3
B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,130.04,2019-03-24,18:27,Cash,123.85,4.76,6.19,8.5
A,Yangon,Member,Female,Electronic accessories,94.64,3,14.196,298.12,2019-02-21,16:55,Cash,283.92,4.76,14.2,5.5
B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,796.91,2019-02-12,12:58,Ewallet,758.96,4.76,37.95,8.7
B,Mandalay,Normal,Female,Food and beverages,57.34,3,8.601,180.62,2019-03-10,18:59,Credit card,172.02,4.76,8.6,7.9
B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,285.7,2019-01-31,13:44,Ewallet,272.1,4.76,13.6,6.1
B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,456.29,2019-03-06,13:46,Ewallet,434.56,4.76,21.73,5.4
C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0,2019-02-17,18:06,Cash,59.05,4.76,2.95,9.4
C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,0.627,13.17,2019-02-21,12:38,Cash,12.54,4.76,0.63,8.2
A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.82,2019-03-20,15:56,Cash,86.5,4.76,4.32,6.2
C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,183.04,2019-01-11,14:29,Credit card,174.32,4.76,8.72,9.7
B,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,655.55,2019-01-26,19:14,Ewallet,624.33,4.76,31.22,4.0
C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.412,155.65,2019-01-31,16:24,Ewallet,148.24,4.76,7.41,9.7
B,Mandalay,Member,Female,Electronic accessories,90.7,6,27.21,571.41,2019-02-26,10:52,Cash,544.2,4.76,27.21,5.3
A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,532.73,2019-03-11,12:55,Ewallet,507.36,4.76,25.37,7.4
B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.137,170.88,2019-01-26,19:28,Cash,162.74,4.76,8.14,6.5
B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,33.36,2019-03-12,13:52,Credit card,31.77,4.76,1.59,8.7
B,Mandalay,Normal,Female,Health and beauty,84.09,9,37.8405,794.65,2019-02-11,10:54,Cash,756.81,4.76,37.84,8.0
B,Mandalay,Member,Male,Fashion accessories,73.82,4,14.764,310.04,2019-02-21,18:31,Cash,295.28,4.76,14.76,6.7
A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,2019-03-09,18:24,Ewallet,519.4,4.76,25.97,6.5
A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,195.59,2019-01-20,18:09,Ewallet,186.28,4.76,9.31,4.1
C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.3525,91.4,2019-01-28,15:16,Credit card,87.05,4.76,4.35,4.9
C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,11.055,232.16,2019-03-05,17:07,Credit card,221.1,4.76,11.06,8.6
B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,69.4,2019-03-02,19:26,Cash,66.1,4.76,3.3,4.3
A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.17,2019-01-11,11:20,Ewallet,89.69,4.76,4.48,4.9
A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,235.68,2019-01-11,16:49,Credit card,224.46,4.76,11.22,5.6
A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,125.52,2019-03-11,12:01,Credit card,119.54,4.76,5.98,5.8
C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,9.32,195.72,2019-02-28,18:37,Credit card,186.4,4.76,9.32,6.0
A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,11:25,Cash,250.6,4.76,12.53,4.2
B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.51,2019-02-02,18:42,Credit card,750.96,4.76,37.55,8.3
A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.76,2019-01-01,14:47,Cash,380.72,4.76,19.04,5.7
B,Mandalay,Member,Female,Electronic accessories,81.4,3,12.21,256.41,2019-02-09,19:43,Cash,244.2,4.76,12.21,4.8
A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,94.18,2019-01-23,14:04,Ewallet,89.7,4.76,4.49,6.8
A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.42,2019-01-07,16:11,Credit card,310.88,4.76,15.54,8.8
B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,536.99,2019-01-14,19:06,Credit card,511.42,4.76,25.57,4.2
B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,439.9,2019-02-02,15:34,Ewallet,418.95,4.76,20.95,6.4
C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,17.595,369.5,2019-03-17,19:06,Credit card,351.9,4.76,17.6,8.4
C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,30.22,2019-03-02,19:44,Credit card,28.78,4.76,1.44,7.2
A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,2019-03-16,11:22,Cash,95.0,4.76,4.75,5.2
A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,2019-01-06,11:23,Cash,471.2,4.76,23.56,8.9
B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,137.0,2019-01-29,14:12,Cash,130.48,4.76,6.52,9.0
A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,69.67,2019-01-31,10:46,Credit card,66.35,4.76,3.32,9.7
A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,163.23,2019-02-05,10:16,Ewallet,155.46,4.76,7.77,8.7
A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,2019-02-13,12:38,Ewallet,129.0,4.76,6.45,6.5
C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13.188,276.95,2019-02-07,13:05,Credit card,263.76,4.76,13.19,6.9
A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,709.32,2019-03-19,13:25,Ewallet,675.54,4.76,33.78,6.2
C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,3.29,69.09,2019-03-07,14:53,Ewallet,65.8,4.76,3.29,5.6
B,Mandalay,Member,Female,Fashion accessories,38.3,4,7.66,160.86,2019-03-13,19:22,Cash,153.2,4.76,7.66,5.7
A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,233.52,2019-02-09,11:00,Cash,222.4,4.76,11.12,4.2
B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,57.17,2019-02-26,19:24,Ewallet,54.45,4.76,2.72,7.9
A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,2019-03-12,12:43,Credit card,688.8,4.76,34.44,8.7
C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,7.094,148.97,2019-03-14,17:22,Credit card,141.88,4.76,7.09,6.9
B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,2019-01-08,20:55,Cash,746.0,4.76,37.3,9.5
A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.11,2019-01-05,16:05,Credit card,282.96,4.76,14.15,4.4
A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,2019-01-04,13:34,Ewallet,355.4,4.76,17.77,7.0
B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.8575,354.01,2019-03-06,18:13,Ewallet,337.15,4.76,16.86,6.3
C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.35,2019-01-03,19:17,Cash,42.24,4.76,2.11,9.7
A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.55,2019-01-07,11:44,Credit card,193.86,4.76,9.69,8.8
A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,25.26,2019-01-27,15:51,Cash,24.06,4.76,1.2,5.1
B,Mandalay,Normal,Female,Health and beauty,99.71,6,29.913,628.17,2019-02-26,16:52,Ewallet,598.26,4.76,29.91,7.9
B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.58,2019-01-07,20:52,Cash,335.79,4.76,16.79,6.2
C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,2019-01-07,17:36,Cash,218.2,4.76,10.91,7.1
C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,400.76,2019-02-02,13:23,Ewallet,381.68,4.76,19.08,6.4
C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35.495,745.4,2019-03-20,16:28,Cash,709.9,4.76,35.49,5.7
A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,462.21,2019-03-20,19:57,Credit card,440.2,4.76,22.01,9.6
A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.66,2019-02-15,17:01,Credit card,559.68,4.76,27.98,6.4
C,Naypyitaw,Normal,Male,Home and lifestyle,37.0,1,1.85,38.85,2019-03-06,13:29,Credit card,37.0,4.76,1.85,7.9
A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.11,2019-01-06,11:09,Cash,15.34,4.76,0.77,6.5
A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,628.93,2019-03-04,15:02,Ewallet,598.98,4.76,29.95,8.5
A,Yangon,Member,Female,Health and beauty,47.67,4,9.534,200.21,2019-03-12,14:21,Cash,190.68,4.76,9.53,9.1
B,Mandalay,Normal,Male,Health and beauty,66.68,5,16.67,350.07,2019-02-20,18:01,Cash,333.4,4.76,16.67,7.6
C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3.743,78.6,2019-03-24,14:49,Cash,74.86,4.76,3.74,6.9
C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,224.44,2019-01-31,12:02,Cash,213.75,4.76,10.69,9.5
B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.9785,356.55,2019-01-25,13:30,Credit card,339.57,4.76,16.98,5.2
A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.37,2019-02-03,14:38,Cash,664.16,4.76,33.21,4.2
B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,423.15,2019-01-24,17:37,Credit card,403.0,4.76,20.15,7.0
C,Naypyitaw,Normal,Male,Electronic accessories,27.85,7,9.7475,204.7,2019-03-14,17:20,Ewallet,194.95,4.76,9.75,6.0
A,Yangon,Member,Female,Electronic accessories,62.48,1,3.124,65.6,2019-02-18,20:29,Cash,62.48,4.76,3.12,4.7
A,Yangon,Member,Female,Food and beverages,36.36,2,3.636,76.36,2019-01-21,10:00,Cash,72.72,4.76,3.64,7.1
B,Mandalay,Normal,Male,Health and beauty,18.11,10,9.055,190.16,2019-03-13,11:46,Ewallet,181.1,4.76,9.06,5.9
C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,2019-03-03,13:42,Cash,259.6,4.76,12.98,7.5
C,Naypyitaw,Normal,Male,Electronic accessories,28.84,4,5.768,121.13,2019-03-29,14:44,Cash,115.36,4.76,5.77,6.4
A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.79,2019-01-10,14:16,Ewallet,470.28,4.76,23.51,5.8
A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.002,252.04,2019-01-25,15:54,Cash,240.04,4.76,12.0,4.5
C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.4305,93.04,2019-01-19,10:21,Cash,88.61,4.76,4.43,7.7
C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.62,2019-01-02,18:09,Credit card,199.64,4.76,9.98,6.7
B,Mandalay,Member,Male,Health and beauty,39.01,1,1.9505,40.96,2019-03-12,16:46,Credit card,39.01,4.76,1.95,4.7
C,Naypyitaw,Normal,Male,Food and beverages,48.61,1,2.4305,51.04,2019-02-25,15:31,Cash,48.61,4.76,2.43,4.4
A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.238,215.0,2019-03-18,17:15,Credit card,204.76,4.76,10.24,4.7
B,Mandalay,Normal,Female,Electronic accessories,14.96,8,5.984,125.66,2019-02-23,12:29,Cash,119.68,4.76,5.98,8.6
A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,530.67,2019-03-26,20:14,Ewallet,505.4,4.76,25.27,4.3
A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,295.69,2019-03-30,13:22,Cash,281.61,4.76,14.08,9.6
A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.516,745.84,2019-02-17,17:09,Cash,710.32,4.76,35.52,4.1
A,Yangon,Member,Female,Electronic accessories,26.48,3,3.972,83.41,2019-03-21,10:40,Ewallet,79.44,4.76,3.97,4.7
A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,172.01,2019-03-05,17:43,Cash,163.82,4.76,8.19,7.8
B,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,503.56,2019-01-31,14:04,Cash,479.58,4.76,23.98,5.5
C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.933,145.59,2019-02-05,19:05,Ewallet,138.66,4.76,6.93,9.7
A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,74.71,2019-02-01,10:08,Credit card,71.15,4.76,3.56,4.4
A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,146.95,2019-03-07,13:12,Cash,139.95,4.76,7.0,5.0
C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.065,820.36,2019-02-10,20:51,Cash,781.3,4.76,39.06,4.4
C,Naypyitaw,Member,Male,Food and beverages,99.37,2,9.937,208.68,2019-02-14,17:29,Cash,198.74,4.76,9.94,5.2
C,Naypyitaw,Member,Female,Food and beverages,21.08,3,3.162,66.4,2019-02-09,10:25,Cash,63.24,4.76,3.16,7.3
C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.65,2019-01-10,11:34,Cash,373.95,4.76,18.7,4.9
C,Naypyitaw,Member,Female,Health and beauty,29.67,7,10.3845,218.07,2019-03-11,18:58,Credit card,207.69,4.76,10.38,8.1
C,Naypyitaw,Member,Male,Health and beauty,44.07,4,8.814,185.09,2019-02-18,16:28,Ewallet,176.28,4.76,8.81,8.4
C,Naypyitaw,Normal,Female,Food and beverages,22.93,9,10.3185,216.69,2019-02-26,20:26,Cash,206.37,4.76,10.32,5.5
C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1.971,41.39,2019-01-18,15:08,Cash,39.42,4.76,1.97,8.4
A,Yangon,Normal,Male,Health and beauty,15.26,6,4.578,96.14,2019-02-15,18:03,Ewallet,91.56,4.76,4.58,9.8
A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,324.29,2019-03-08,13:21,Cash,308.85,4.76,15.44,6.7
A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,135.58,2019-01-17,12:48,Credit card,129.12,4.76,6.46,9.4
B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,410.51,2019-03-12,19:53,Ewallet,390.96,4.76,19.55,6.4
A,Yangon,Member,Male,Food and beverages,99.78,5,24.945,523.84,2019-03-09,19:09,Cash,498.9,4.76,24.94,5.4
C,Naypyitaw,Member,Male,Food and beverages,94.26,4,18.852,395.89,2019-03-12,16:30,Cash,377.04,4.76,18.85,8.6
B,Mandalay,Member,Male,Health and beauty,51.13,4,10.226,214.75,2019-01-25,10:11,Credit card,204.52,4.76,10.23,4.0
A,Yangon,Member,Male,Electronic accessories,36.36,4,7.272,152.71,2019-03-25,13:07,Cash,145.44,4.76,7.27,7.6
B,Mandalay,Normal,Male,Home and lifestyle,22.02,9,9.909,208.09,2019-02-07,18:48,Cash,198.18,4.76,9.91,6.8
A,Yangon,Normal,Male,Food and beverages,32.9,3,4.935,103.64,2019-02-17,17:27,Credit card,98.7,4.76,4.93,9.1
A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,404.36,2019-02-03,15:59,Cash,385.1,4.76,19.26,5.5
A,Yangon,Member,Male,Food and beverages,23.48,2,2.348,49.31,2019-03-14,11:21,Credit card,46.96,4.76,2.35,7.9
C,Naypyitaw,Member,Male,Sports and travel,14.7,5,3.675,77.18,2019-03-24,13:48,Ewallet,73.5,4.76,3.68,8.5
A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,149.36,2019-03-21,10:17,Credit card,142.25,4.76,7.11,9.1
A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,721.98,2019-03-19,15:49,Ewallet,687.6,4.76,34.38,7.5
B,Mandalay,Normal,Female,Sports and travel,57.95,6,17.385,365.08,2019-02-24,13:02,Cash,347.7,4.76,17.39,5.2
C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3,7.1475,150.1,2019-03-28,12:58,Credit card,142.95,4.76,7.15,9.5
B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269,404.65,2019-02-05,15:26,Credit card,385.38,4.76,19.27,8.9
B,Mandalay,Member,Male,Electronic accessories,48.09,3,7.2135,151.48,2019-02-10,18:23,Credit card,144.27,4.76,7.21,7.8
B,Mandalay,Member,Female,Health and beauty,55.97,7,19.5895,411.38,2019-03-05,19:06,Ewallet,391.79,4.76,19.59,8.9
B,Mandalay,Member,Female,Health and beauty,76.9,7,26.915,565.22,2019-02-15,20:21,Cash,538.3,4.76,26.92,7.7
C,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.2575,509.41,2019-01-30,16:24,Ewallet,485.15,4.76,24.26,9.3
A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,140.65,2019-02-14,15:04,Cash,133.95,4.76,6.7,6.2
A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,736.44,2019-02-27,16:10,Ewallet,701.37,4.76,35.07,7.6
A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,75.55,2019-02-04,12:14,Cash,71.95,4.76,3.6,7.3
C,Naypyitaw,Member,Female,Home and lifestyle,89.25,8,35.7,749.7,2019-01-20,10:13,Cash,714.0,4.76,35.7,4.7
A,Yangon,Normal,Male,Electronic accessories,26.02,7,9.107,191.25,2019-03-28,17:38,Cash,182.14,4.76,9.11,5.1
B,Mandalay,Normal,Female,Health and beauty,13.5,10,6.75,141.75,2019-02-27,11:06,Credit card,135.0,4.76,6.75,4.8
C,Naypyitaw,Member,Female,Fashion accessories,99.3,10,49.65,1042.65,2019-02-15,14:53,Credit card,993.0,4.76,49.65,6.6
A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.0915,379.92,2019-01-26,18:22,Cash,361.83,4.76,18.09,5.5
B,Mandalay,Member,Female,Fashion accessories,54.73,7,19.1555,402.27,2019-03-14,19:02,Credit card,383.11,4.76,19.16,8.5
B,Mandalay,Member,Male,Home and lifestyle,27.0,9,12.15,255.15,2019-03-02,14:16,Cash,243.0,4.76,12.15,4.8
C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1,1.512,31.75,2019-03-04,15:44,Cash,30.24,4.76,1.51,8.4
B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.39,2019-01-07,12:20,Credit card,356.56,4.76,17.83,7.8
C,Naypyitaw,Normal,Female,Fashion accessories,37.55,10,18.775,394.28,2019-03-08,20:01,Credit card,375.5,4.76,18.77,9.3
C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,2019-01-09,13:45,Cash,954.4,4.76,47.72,5.2
B,Mandalay,Normal,Male,Electronic accessories,27.5,3,4.125,86.62,2019-03-01,15:40,Ewallet,82.5,4.76,4.12,6.5
B,Mandalay,Normal,Male,Sports and travel,74.97,1,3.7485,78.72,2019-03-16,16:58,Cash,74.97,4.76,3.75,5.6
A,Yangon,Member,Male,Food and beverages,80.96,8,32.384,680.06,2019-02-17,11:12,Credit card,647.68,4.76,32.38,7.4
C,Naypyitaw,Normal,Female,Food and beverages,94.47,8,37.788,793.55,2019-02-27,15:12,Cash,755.76,4.76,37.79,9.1
C,Naypyitaw,Normal,Male,Food and beverages,99.79,2,9.979,209.56,2019-03-07,20:37,Ewallet,199.58,4.76,9.98,8.0
A,Yangon,Normal,Male,Home and lifestyle,73.22,6,21.966,461.29,2019-01-21,17:44,Cash,439.32,4.76,21.97,7.2
C,Naypyitaw,Normal,Female,Food and beverages,41.24,4,8.248,173.21,2019-02-19,16:23,Cash,164.96,4.76,8.25,7.1
C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,343.06,2019-01-06,12:12,Cash,326.72,4.76,16.34,9.1
C,Naypyitaw,Normal,Female,Electronic accessories,51.32,9,23.094,484.97,2019-03-14,19:33,Cash,461.88,4.76,23.09,5.6
A,Yangon,Member,Male,Home and lifestyle,65.94,4,13.188,276.95,2019-03-24,10:29,Cash,263.76,4.76,13.19,6.0
C,Naypyitaw,Normal,Female,Sports and travel,14.36,10,7.18,150.78,2019-01-27,14:28,Cash,143.6,4.76,7.18,5.4
A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.18,2019-03-06,12:46,Credit card,193.5,4.76,9.68,7.8
B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,193.01,2019-02-02,19:40,Cash,183.82,4.76,9.19,9.9
B,Mandalay,Normal,Female,Fashion accessories,60.96,2,6.096,128.02,2019-01-25,19:39,Credit card,121.92,4.76,6.1,4.9
C,Naypyitaw,Normal,Female,Home and lifestyle,70.11,6,21.033,441.69,2019-03-14,17:54,Ewallet,420.66,4.76,21.03,5.2
C,Naypyitaw,Normal,Male,Fashion accessories,42.08,6,12.624,265.1,2019-01-29,12:25,Cash,252.48,4.76,12.62,8.9
A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.22,2019-01-03,16:47,Credit card,335.45,4.76,16.77,9.1
A,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.68,2019-01-14,12:52,Ewallet,483.5,4.76,24.18,7.0
B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,334.34,2019-01-05,19:50,Credit card,318.42,4.76,15.92,9.6
C,Naypyitaw,Normal,Male,Sports and travel,95.49,7,33.4215,701.85,2019-02-22,18:17,Ewallet,668.43,4.76,33.42,8.7
C,Naypyitaw,Member,Male,Fashion accessories,96.98,4,19.396,407.32,2019-02-06,17:20,Ewallet,387.92,4.76,19.4,9.4
B,Mandalay,Normal,Female,Electronic accessories,23.65,4,4.73,99.33,2019-01-30,13:32,Credit card,94.6,4.76,4.73,4.0
A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,345.79,2019-01-11,10:37,Credit card,329.32,4.76,16.47,7.5
C,Naypyitaw,Normal,Female,Electronic accessories,26.61,2,2.661,55.88,2019-03-19,14:35,Cash,53.22,4.76,2.66,4.2
B,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,523.37,2019-01-14,12:09,Cash,498.45,4.76,24.92,9.9
C,Naypyitaw,Member,Female,Food and beverages,74.89,4,14.978,314.54,2019-03-01,15:32,Ewallet,299.56,4.76,14.98,4.2
A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.94,2019-01-06,13:58,Ewallet,204.7,4.76,10.24,9.9
B,Mandalay,Member,Male,Sports and travel,75.82,1,3.791,79.61,2019-01-31,13:19,Cash,75.82,4.76,3.79,5.8
C,Naypyitaw,Normal,Male,Food and beverages,46.77,6,14.031,294.65,2019-03-11,13:37,Cash,280.62,4.76,14.03,6.0
A,Yangon,Normal,Female,Health and beauty,32.32,10,16.16,339.36,2019-02-20,16:49,Credit card,323.2,4.76,16.16,10.0
C,Naypyitaw,Member,Female,Fashion accessories,54.07,9,24.3315,510.96,2019-01-27,14:55,Ewallet,486.63,4.76,24.33,9.5
B,Mandalay,Normal,Male,Food and beverages,18.22,7,6.377,133.92,2019-03-10,14:04,Credit card,127.54,4.76,6.38,6.6
C,Naypyitaw,Member,Female,Fashion accessories,80.48,3,12.072,253.51,2019-02-15,12:31,Cash,241.44,4.76,12.07,8.1
B,Mandalay,Normal,Female,Fashion accessories,37.95,10,18.975,398.48,2019-01-26,14:51,Cash,379.5,4.76,18.98,9.7
A,Yangon,Member,Male,Electronic accessories,76.82,1,3.841,80.66,2019-02-13,18:27,Ewallet,76.82,4.76,3.84,7.2
A,Yangon,Member,Female,Sports and travel,52.26,10,26.13,548.73,2019-03-09,12:45,Credit card,522.6,4.76,26.13,6.2
A,Yangon,Normal,Female,Health and beauty,79.74,1,3.987,83.73,2019-03-06,10:36,Ewallet,79.74,4.76,3.99,7.3
A,Yangon,Normal,Female,Health and beauty,77.5,5,19.375,406.88,2019-01-24,20:36,Ewallet,387.5,4.76,19.38,4.3
A,Yangon,Normal,Female,Food and beverages,54.27,5,13.5675,284.92,2019-03-13,14:16,Ewallet,271.35,4.76,13.57,4.6
B,Mandalay,Normal,Male,Home and lifestyle,13.59,9,6.1155,128.43,2019-03-15,10:26,Cash,122.31,4.76,6.12,5.8
B,Mandalay,Member,Female,Health and beauty,41.06,6,12.318,258.68,2019-03-05,13:30,Credit card,246.36,4.76,12.32,8.3
B,Mandalay,Member,Male,Electronic accessories,19.24,9,8.658,181.82,2019-03-04,16:28,Cash,173.16,4.76,8.66,8.0
C,Naypyitaw,Normal,Female,Food and beverages,39.43,6,11.829,248.41,2019-03-25,20:18,Credit card,236.58,4.76,11.83,9.4
C,Naypyitaw,Normal,Male,Home and lifestyle,46.22,4,9.244,194.12,2019-03-12,20:04,Credit card,184.88,4.76,9.24,6.2
C,Naypyitaw,Member,Male,Home and lifestyle,13.98,1,0.699,14.68,2019-02-04,13:38,Ewallet,13.98,4.76,0.7,9.8
B,Mandalay,Normal,Female,Fashion accessories,39.75,5,9.9375,208.69,2019-02-22,10:43,Ewallet,198.75,4.76,9.94,9.6
